lat,amenity,lon,name
30.4365756,place_of_worship,-97.3314657,Type Church
30.6354706,place_of_worship,-97.7894568,Union Chapel
30.5732548,place_of_worship,-97.4291667,Trinity Church
30.6451914,place_of_worship,-97.8639032,Union Hall Church
30.6140821,grave_yard,-97.8264018,Upchurch Cemetery
30.6226927,grave_yard,-97.8383467,Wells Cemetery
30.3943728,school,-97.4552766,Willow Ranch School
30.6426971,place_of_worship,-97.2927738,Zion Church
30.5693661,school,-97.4238887,West End School
30.1374341,place_of_worship,-97.822783,Bethel Church
30.2190997,place_of_worship,-97.6841697,Boulevard Church
30.1307678,grave_yard,-97.8227829,Brown Cemetery
30.2318769,school,-97.6975035,Dolores School
30.2016006,school,-97.6377794,La Mar School
30.2163487,place_of_worship,-97.7296527,Saint Peter the Apostle Catholic Church
30.2407968,school,-97.7630928,San Jose School
30.1382671,school,-97.8538947,The Marbridge School
30.2021544,place_of_worship,-97.8061167,Mimosa Place Church
30.4946468,school,-97.4552777,Rices Crossing School
30.1173467,school,-97.3155689,Bastrop High School West Campus
30.3543748,school,-97.3811072,Elgin Elementary School
30.3490972,school,-97.3794405,Elgin High School
30.3490972,school,-97.3797182,Elgin Primary School
30.117755,school,-97.3112774,Bastrop High School
30.106606,school,-97.3099921,Emile Elementary School
30.1132763,school,-97.3153569,Mina Elementary School
30.3479862,school,-97.3774959,Phoenix Learning Center
30.1096614,school,-97.3105478,Pine Street Alternative School
30.3421531,school,-97.3647176,B T Washington Middle School
30.028546,school,-98.1016765,Bowen Intermediate School
30.0841024,school,-97.8444494,Buda Elementary School
30.1210439,school,-97.9677855,Dahlstrom Intermediate School
30.1946486,school,-98.0953456,Walnut Springs Elementary School
30.2156799,school,-98.0822346,Dripping Springs Elementary School
30.1207663,school,-97.9577853,Hays Alternative Impact Center
30.2012484,school,-98.1157381,Dripping Sprins Middle School
29.9907697,school,-98.1116763,Scudder Primary School
30.0060468,school,-98.1161209,Wimberley High School
30.2659899,school,-97.745891,American Institute for Learning High School
30.3035405,school,-97.735839,Robbins Academy
30.4083489,school,-97.6871674,River Oaks Elementary School
30.2849303,school,-97.7175048,Texas Academy of Excellence
30.2689915,school,-97.7273264,Texas Empowerment Academy
30.4327942,school,-97.6709349,Star Charter School
30.4432582,school,-97.6288935,Timmerman Elementary School
30.4643851,school,-97.642333,Windermere Elementary School
30.4166565,school,-97.6894928,Westview Middle School
30.4425947,school,-97.6409398,Pflugerville Middle School
30.4813079,school,-97.9783479,Lago Vista High School
30.4732528,school,-97.9736253,Lago Vista Middle School
30.3276823,school,-97.9686837,Lake Travis High School
30.3038161,school,-97.8913978,West Ridge Middle School
30.3440948,school,-97.7027831,Nyos Charter School
30.3708573,school,-97.9461515,Lake Travis Elementary School
30.4327026,school,-97.6766726,Northwest Elementary School
30.252726,school,-97.7299327,Martin Junior High School
30.1655781,school,-97.7290534,Hillcrest Elementary School
30.4465913,school,-97.6369494,Pflugerville Alternative Learning Center
30.4148338,school,-97.6915635,Parmer Lane Elementary School
30.4463135,school,-97.6358383,Pflugerville High School
30.2721519,school,-97.8030621,Hill Country Middle School
30.3090964,school,-97.6713928,Andrews Elementary School
30.3040941,school,-97.8747307,Barton Creek Elementary School
30.339927,school,-97.8038966,Bridge Point Elementary School
30.4607574,school,-97.6486166,Brookhollow Elementary School
30.2690965,school,-97.8050065,Cedar Creek Elementary School
30.3882506,school,-97.6601419,Copperfield Elementary School
30.4180749,school,-97.7419999,Davis Elementary School
30.1707685,school,-97.6244454,Del Valle Junior High School
30.3998598,school,-97.6451015,Dessau Elementary School
30.1764112,school,-97.6124634,Del Valle Opportunity Center
30.2927073,school,-97.7644506,Dill Special Programs School
30.2771517,school,-97.8041733,Eanes Elementary School
30.1529893,school,-97.8161163,Eden Park Academy
30.5771435,school,-97.4174997,Williamson County Academy
30.5707503,school,-97.8533463,Williamson County Academy
30.498962,school,-97.6739555,Xenia Voigt Elementary School
30.5239096,school,-97.8457059,Lois F Giddens Elementary School
30.5876986,school,-97.4286113,Naomi Pasemann Elementary School
30.5854765,school,-97.4277779,Northside Elementary School
30.5732549,school,-97.4138884,Taylor Middle School
30.5939545,school,-97.4151867,Taylor High School
30.5889445,school,-97.2955876,Thrall Elementary School
30.588642,school,-97.2952362,Thrall High School
30.6663183,school,-97.8942013,Westwood Special Education
30.4707088,school,-97.7818289,Forest North Elementary School
30.4979781,school,-97.643617,Gattis Elementary School
30.6368854,school,-97.6727745,Georgetown Alternative Center
30.6140671,school,-97.7011261,James Tippit Middle School
30.5737425,school,-97.8532209,Leander Middle School
30.5376542,school,-97.8514971,Leander High School
30.4884453,school,-97.8310559,Ada Mae Faubion Elementary School
30.5399185,school,-97.8322341,Block House Creek Elementary School
30.4896446,school,-97.6911183,Bluebonnet Elementary School
30.5213361,school,-97.8541221,C C Mason Elementary School
30.5115707,school,-97.7372771,Brushy Creek Elementary School
30.5111105,school,-97.6814521,C D Fulkes Middle School
30.4352007,school,-97.8244544,Canyon Creek Elementary School
30.4283276,school,-97.7843694,Canyon Vista Middle School
30.628216,school,-97.6864885,Carver Elementary School
30.4924269,school,-97.7339814,Cedar Valley Middle School
30.6629708,school,-97.6691758,Chip Richarte Learning Center
30.5103222,school,-97.6840407,Claude Berkman Elementary School
30.4543711,school,-97.390553,Coupland Elementary School
30.4653081,school,-97.8359858,Cypress Elementary School
30.5421427,school,-97.6563958,Double File Trail Elementary School
30.6136239,school,-97.698637,Dell Pickett Elementary School
30.6338659,school,-97.6724638,Everett Williams Elementary School
